Name,Symbol,Security No,ISIN,Weight (%),Market Cap (NIS millions),Base Price,Closing Price (0.01 NIS),Ex
LEUMI,LUMI,604611,IL0006046119,5.33178,"54,651","3,540",No
POALIM,POLI,662577,IL0006625771,5.53755,"46,789","3,500",No
NICE,NICE,273011,IL0002730112,4.82787,"44,631","70,250",No
ICL,ICL,281014,IL0002810146,4.34464,"41,403","3,212",No
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.73757,"35,600","13,850",No
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.05851,"33,580","27,690",No
TEVA,TEVA,629014,IL0006290147,4.16513,"32,983","2,970",No
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.20841,"30,531","68,860",No
DISCOUNT,DSCT,691212,IL0006912120,4.46312,"25,482","2,060",No
ORMAT TECHNO,ORA,1134402,US6866881021,3.01976,"17,241","30,900",No
TOWER,TSEM,1082379,IL0010823792,2.94577,"16,819","15,390",No
FIBI BANK,FIBI,593038,IL0005930388,1.66269,"15,822","15,770",No
BEZEQ,BEZQ,230011,IL0002300114,2.18549,"15,598",564,No
MELISRON,MLSR,323014,IL0003230146,1.34201,"12,775","26,900",No
ISRAEL CORP,ILCO,576017,IL0005760173,1.3305,"12,661","164,460",No
SHAPIR ENG,SPEN,1133875,IL0011338758,0.88616,"11,244","3,147",No
BIG,BIG,1097260,IL0010972607,1.16408,"11,077","46,230",No
NEWMED ENERG PU,NWMD,475020,IL0004750209,0.86871,"11,022",939,No
AMOT,AMOT,1097278,IL0010972789,1.14706,"10,919","2,324",No
DELEK GROUP,DLEKG,1084128,IL0010841281,1.12605,"10,720","58,400",No
STRAUSS GROUP,STRS,746016,IL0007460160,0.80387,"10,199","8,769",No
PHOENIX,PHOE,767012,IL0007670123,1.39808,"9,983","3,970",No
MIVNE,MVNE,226019,IL0002260193,1.33936,"9,559","1,215",No
NOVA,NVMI,1084557,IL0010845571,1.64288,"9,380","32,700",No
ALONY HETZ,ALHE,390013,IL0003900136,1.61924,"9,245","5,301",No
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.25058,"8,925","5,040",No
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.67678,"8,587","8,483",No
AIRPORT CITY,ARPT,1095835,IL0010958358,0.88515,"8,423","6,780",No
OPC ENERGY,OPCE,1141571,IL0011415713,0.65959,"8,369","3,951",No
ENERGIX,ENRG,1123355,IL0011233553,0.61579,"8,216","1,500",No
LEUMI,LUMI,604611,IL0006046119,5.33178,"54,651","3,540",No
POALIM,POLI,662577,IL0006625771,5.53755,"46,789","3,500",No
NICE,NICE,273011,IL0002730112,4.82787,"44,631","70,250",No
ICL,ICL,281014,IL0002810146,4.34464,"41,403","3,212",No
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.73757,"35,600","13,850",No
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.05851,"33,580","27,690",No
TEVA,TEVA,629014,IL0006290147,4.16513,"32,983","2,970",No
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.20841,"30,531","68,860",No
DISCOUNT,DSCT,691212,IL0006912120,4.46312,"25,482","2,060",No
ORMAT TECHNO,ORA,1134402,US6866881021,3.01976,"17,241","30,900",No
TOWER,TSEM,1082379,IL0010823792,2.94577,"16,819","15,390",No
FIBI BANK,FIBI,593038,IL0005930388,1.66269,"15,822","15,770",No
BEZEQ,BEZQ,230011,IL0002300114,2.18549,"15,598",564,No
MELISRON,MLSR,323014,IL0003230146,1.34201,"12,775","26,900",No
ISRAEL CORP,ILCO,576017,IL0005760173,1.3305,"12,661","164,460",No
SHAPIR ENG,SPEN,1133875,IL0011338758,0.88616,"11,244","3,147",No
BIG,BIG,1097260,IL0010972607,1.16408,"11,077","46,230",No
NEWMED ENERG PU,NWMD,475020,IL0004750209,0.86871,"11,022",939,No
AMOT,AMOT,1097278,IL0010972789,1.14706,"10,919","2,324",No
DELEK GROUP,DLEKG,1084128,IL0010841281,1.12605,"10,720","58,400",No
STRAUSS GROUP,STRS,746016,IL0007460160,0.80387,"10,199","8,769",No
PHOENIX,PHOE,767012,IL0007670123,1.39808,"9,983","3,970",No
MIVNE,MVNE,226019,IL0002260193,1.33936,"9,559","1,215",No
NOVA,NVMI,1084557,IL0010845571,1.64288,"9,380","32,700",No
